,vgg16 eval,vgg16 train,resnet152 eval,resnet152 train,densenet161 eval,densenet161 train
32-bit,27.301740646362305,90.72678089141846,44.99194622039795,153.8627028465271,46.03070020675659,153.06538343429565
16-bit,14.623236656188965,49.16045665740967,22.33264446258545,92.66263246536255,29.239463806152344,98.2833743095398
