,vgg16 eval,vgg16 train,resnet152 eval,resnet152 train,densenet161 eval,densenet161 train
32-bit,55.68983554840088,176.7101764678955,68.64488124847412,197.22057580947876,0.0,0.0
16-bit,40.291786193847656,148.164701461792,51.77055597305298,157.86508321762085,0.0,0.0
