,,vgg16 eval,vgg16 train,resnet152 eval,resnet152 train,densenet161 eval,densenet161 train
caffe2_results,32-bit,55.68983554840088,176.7101764678955,68.64488124847412,197.22057580947876,0.0,0.0
caffe2_results,16-bit,40.291786193847656,148.164701461792,51.77055597305298,157.86508321762085,0.0,0.0
pytorch_results,32-bit,27.301740646362305,90.72678089141846,44.99194622039795,153.8627028465271,46.03070020675659,153.06538343429565
pytorch_results,16-bit,14.623236656188965,49.16045665740967,22.33264446258545,92.66263246536255,29.239463806152344,98.2833743095398
tensorflow_results,32-bit,33.48698616027832,95.76916694641113,51.42676830291748,243.51985454559326,0.0,0.0
tensorflow_results,16-bit,18.78821849822998,62.95936107635498,27.626895904541016,173.64107370376587,0.0,0.0
