,vgg16 eval,vgg16 train,resnet152 eval,resnet152 train,densenet161 eval,densenet161 train
32-bit,33.48698616027832,95.76916694641113,51.42676830291748,243.51985454559326,0.0,0.0
16-bit,18.78821849822998,62.95936107635498,27.626895904541016,173.64107370376587,0.0,0.0
