,vgg16 eval,vgg16 train,resnet152 eval,resnet152 train,densenet161 eval,densenet161 train
fp32,33.49,95.77,51.43,243.52,0.0,0.0
fp16,18.79,62.96,27.63,173.64,0.0,0.0
