,vgg16 eval,vgg16 train,resnet152 eval,resnet152 train,densenet161 eval,densenet161 train
fp32,27.3,90.73,44.99,153.86,46.03,153.07
fp16,14.62,49.16,22.33,92.66,29.24,98.28
